Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,3289,3289,0,0
2008-01-02,2778,2778,0,0
2008-01-03,2760,2760,0,0
2008-01-04,3290,3290,0,0
2008-01-05,3836,3836,0,0
2008-01-06,5510,5510,0,0
2008-01-07,4228,4228,0,0
2008-01-08,2081,2081,0,0
2008-01-09,3528,3528,0,0
2008-01-10,3647,3647,0,0
2008-01-11,2837,2837,0,0
2008-01-12,2806,2806,0,0
2008-01-13,2763,2763,0,0
2008-01-14,2955,2955,0,0
2008-01-15,3578,3578,0,0
2008-01-16,3917,3917,0,0
2008-01-17,2964,2964,0,0
2008-01-18,4126,4126,0,0
2008-01-19,3143,3143,0,0
2008-01-20,3876,3876,0,0
2008-01-21,3323,3323,0,0
2008-01-22,3325,3325,0,0
2008-01-23,4376,4376,0,0
2008-01-24,3665,3665,0,0
2008-01-25,3973,3973,0,0
2008-01-26,3391,3391,0,0
2008-01-27,3716,3716,0,0
2008-01-28,2873,2873,0,0
2008-01-29,3555,3555,0,0
2008-01-30,5366,5366,0,0
2008-01-31,3346,3346,0,0
2008-02-01,2923,2923,0,0
2008-02-02,2098,2098,0,0
2008-02-03,3617,3617,0,0
2008-02-04,2121,2121,0,0
2008-02-05,2613,2613,0,0
2008-02-06,1680,1680,0,0
2008-02-07,2942,2942,0,0
2008-02-08,3936,3936,0,0
2008-02-09,2449,2449,0,0
2008-02-10,3281,3281,0,0
2008-02-11,2391,2391,0,0
2008-02-12,3597,3597,0,0
2008-02-13,3032,3032,0,0
2008-02-14,2831,2831,0,0
2008-02-15,2381,2381,0,0
2008-02-16,6124,6124,0,0
2008-02-17,1988,1988,0,0
2008-02-18,3044,3044,0,0
2008-02-19,3186,3186,0,0
2008-02-20,4991,4991,0,0
2008-02-21,3440,3440,0,0
2008-02-22,2978,2978,0,0
2008-02-23,3175,3175,0,0
2008-02-24,2772,2772,0,0
2008-02-25,4434,4434,0,0
2008-02-26,5088,5088,0,0
2008-02-27,3384,3384,0,0
2008-02-28,3563,3563,0,0
2008-02-29,2718,2718,0,0
2008-03-01,2667,2667,0,0
2008-03-02,3103,3103,0,0
2008-03-03,2010,2010,0,0
2008-03-04,780,780,0,0
2008-03-05,3477,3477,0,0
2008-03-06,3794,3794,0,0
2008-03-07,2017,2017,0,0
2008-03-08,3328,3328,0,0
2008-03-09,2620,2620,0,0
2008-03-10,2239,2239,0,0
2008-03-11,4060,4060,0,0
2008-03-12,2653,2653,0,0
2008-03-13,2793,2793,0,0
2008-03-14,4409,4409,0,0
2008-03-15,2767,2767,0,0
2008-03-16,3392,3392,0,0
2008-03-17,2393,2393,0,0
2008-03-18,3565,3565,0,0
2008-03-19,2482,2482,0,0
2008-03-20,1926,1926,0,0
2008-03-21,4024,4024,0,0
2008-03-22,2212,2212,0,0
2008-03-23,1684,1684,0,0
2008-03-24,2680,2680,0,0
2008-03-25,3081,3081,0,0
2008-03-26,3862,3862,0,0
2008-03-27,1984,1984,0,0
2008-03-28,2534,2534,0,0
2008-03-29,2368,2368,0,0
2008-03-30,4071,4071,0,0
2008-03-31,8529,8529,0,0
2008-04-01,5782,5782,0,0
2008-04-02,3979,3979,0,0
2008-04-03,3003,3003,0,0
2008-04-04,2641,2641,0,0
2008-04-05,1890,1890,0,0
2008-04-06,3446,3446,0,0
2008-04-07,3258,3258,0,0
2008-04-08,2762,2762,0,0
2008-04-09,2522,2522,0,0
2008-04-10,2503,2503,0,0
2008-04-11,3211,3211,0,0
2008-04-12,4731,4731,0,0
2008-04-13,3158,3158,0,0
2008-04-14,2747,2747,0,0
2008-04-15,3123,3123,0,0
2008-04-16,3123,3123,0,0
2008-04-17,1619,1619,0,0
2008-04-18,3009,3009,0,0
2008-04-19,3581,3581,0,0
2008-04-20,2469,2469,0,0
2008-04-21,2799,2799,0,0
2008-04-22,2249,2249,0,0
2008-04-23,2592,2592,0,0
2008-04-24,1769,1769,0,0
2008-04-25,3812,3812,0,0
2008-04-26,2984,2984,0,0
2008-04-27,4220,4220,0,0
2008-04-28,2591,2591,0,0
2008-04-29,2962,2962,0,0
2008-04-30,2983,2983,0,0
2008-05-01,3033,3033,0,0
2008-05-02,3037,3037,0,0
2008-05-03,3379,3379,0,0
2008-05-04,3025,3025,0,0
2008-05-05,3066,3066,0,0
2008-05-06,2655,2655,0,0
2008-05-07,3977,3977,0,0
2008-05-08,2269,2269,0,0
2008-05-09,3284,3284,0,0
2008-05-10,2877,2877,0,0
2008-05-11,2831,2831,0,0
2008-05-12,3115,3115,0,0
2008-05-13,4333,4333,0,0
2008-05-14,3763,3763,0,0
2008-05-15,3151,3151,0,0
2008-05-16,4777,4777,0,0
2008-05-17,4567,4567,0,0
2008-05-18,3206,3206,0,0
2008-05-19,5138,5138,0,0
2008-05-20,4125,4125,0,0
2008-05-21,7830,7830,0,0
2008-05-22,8578,8578,0,0
2008-05-23,4032,4032,0,0
2008-05-24,3163,3163,0,0
2008-05-25,4828,4828,0,0
2008-05-26,3585,3585,0,0
2008-05-27,3280,3280,0,0
2008-05-28,3311,3311,0,0
2008-05-29,3005,3005,0,0
2008-05-30,3409,3409,0,0
2008-05-31,3588,3588,0,0
2008-06-01,3489,3489,0,0
2008-06-02,2916,2916,0,0
2008-06-03,2766,2766,0,0
2008-06-04,3365,3365,0,0
2008-06-05,5168,5168,0,0
2008-06-06,3618,3618,0,0
2008-06-07,3152,3152,0,0
2008-06-08,4494,4494,0,0
2008-06-09,2429,2429,0,0
2008-06-10,5960,5960,0,0
2008-06-11,5007,5007,0,0
2008-06-12,4461,4461,0,0
2008-06-13,3707,3707,0,0
2008-06-14,4073,4073,0,0
2008-06-15,3128,3128,0,0
2008-06-16,3558,3558,0,0
2008-06-17,4963,4963,0,0
2008-06-18,2616,2616,0,0
2008-06-19,4110,4110,0,0
2008-06-20,2993,2993,0,0
2008-06-21,3227,3227,0,0
2008-06-22,3031,3031,0,0
2008-06-23,5331,5331,0,0
2008-06-24,3160,3160,0,0
2008-06-25,3349,3349,0,0
2008-06-26,3307,3307,0,0
2008-06-27,4383,4383,0,0
2008-06-28,4367,4367,0,0
2008-06-29,3726,3726,0,0
2008-06-30,5107,5107,0,0
2008-07-01,3413,3413,0,0
2008-07-02,3151,3151,0,0
2008-07-03,2870,2870,0,0
2008-07-04,4744,4744,0,0
2008-07-05,3663,3663,0,0
2008-07-06,3501,3501,0,0
2008-07-07,3489,3489,0,0
2008-07-08,3725,3725,0,0
2008-07-09,3059,3059,0,0
